Material,Sintering,Structure,er,Qf,f,Tcf,Reference
K0.67 Ba0.33 Ga1.33 Ge2.67 O8,1020,Monoclinic C2/m,6.9,32600,12,-27,35
ZnO:B 2O3:SiO 2 (50:40:10) glass,611,Glass,6.9,1710,15.8,-21,81
BaGa2 Ge2O8,1100,Monoclinic P2 1/a,6.9,10640,,-26,35
xMgO-(1-x)B 2O3(x=0.75),1350,Orthorhombic Pnmn,6.9,119600,,-69,86
MgO-B2O3-SiO 3 +10 wt% TiO 2,,Composite,6.9,16500,,,46
3ZnO-B2O3,950,Glass,6.9,20600,6.35,-80,87
(Ca0.9 Mg0.1 )SiO 3+Li 2CO3-Bi 2O3,890,Mixed phases,6.9,27000,,-40,88
16ZnO-16La2O3-68B2O3 +50 wt% Al 2O3,950,Composite,6.9,12100,18.1,-12,89
Sm2Si 2O7+15 wt%LMZBS,950,Tetragonal P4 1,6.9,5000,10,,90
Zn 2GeO4,1300,Trigonal R-3,6.9,102700,,-32,91
LiMg0.95 Ni 0.05 PO4,875,Orthorhombic olivine type,6.9,98600,,-55,92
(Mg0.95 Ni 0.05 ) 2SiO 4 +12 wt% Li 2 CO3-V 2O 5,1150,Orthorhombic,6.9,99800,,-50,82
HfSiO 4,,,7,25000,10,-44,93
Sr 0.05 Ba0.95 Al 2Si 2O8,1400,Monoclinic celsian I2/c,7,92600,,-22,85
Mg3B2O6+5 wt% Mg2B2 O5,1310,Kotoite Orthorhombic Pnmn,7,241000,,-18,"47,94"
SrCuP 2O7,925,Monoclinic P2 1/n,7,101110,,-62,95
CaMgSi 2O6,900,Monoclinic C2/c,7,43200,,-22,96
CaMgSi 2O6+ 8.5 wt% ZrO 2,950,Composite,7,7300,,,97
Mg2SiO 4+1 wt% TiO 2 Fosterite,1300,Orthorhombic Pbnm,7,230000,,-65,98
Ba2V 2O7,950,Anorthic Triclinic P-1,7,19000,,-74,99
-Ba2P 2O7,1150,"Dichromatic type Hexagonal
P-62m",7,12300,,,42
Ba2MgSi 2O7,1350,Tetragonal P-421m,7,31000,,-60,100
Sr 2Al 2SiO 7,1525,Tetragonal P4-2 1m,7,33000,,-34,101
LiMg0.95 Co 0.05PO4,875,Orthorhombic olivine type,7,111200,,-54,102
SrZnP 2O7,950,Monoclinic P2 1/n,7.1,52780,,-70,95103
MgMoO 4,900,Wolframite monoclinic C2/m,7.1,79100,,-46,104
ZnO:B 2O3:SiO 2 (50:30:20) glass,614,Glass,7.1,1670,15.9,-43,81
-Sr 2P 2O7,1150,"Dichromatic type
Orthorhombic Pnam",7.1,33500,,-23,42
SrO-B2O3-SiO 2 (32.85:52.09:15.05) glass,,Glass,7.1,3600,6.7,,63
"MgTiO 3+ 15 wt% CaTiO 3 + ZnO-B2O3-
SiO 2(35:25:40)",900,Composite,7.1,3500,16,6,105
0.95Zn 2SiO 4-0.05CaTiO 3+Li 2CO 3-H3BO 3,950,Trigonal R-3,7.1,26300,,-5,106
Li 2CaSiO 4+3 wt% ZBS,875,Tetragonal I-42m,7.1,2000,,,12
Mg3B2O6,,Kotoite Orthorhombic Pnmn,7.2,150400,16,,107
BaAl 2Si 2O8,1500,Monoclinic P121/a1,7.2,70600,10.5,-22,108
Sr 0.05 Ba0.95 Al 2Si 2O8,1500,"Monocelsian Hxagonal
P6/mmm",7.2,77000,10.5,,108
Li 2CaSiO 4+1 wt% LBS,925,Tetragonal I-42m,7.2,4000,,,12
Sr 2Al 2SiO 7,1525,Gehlenite tetragonal P-42 1m,7.2,33000,,-37,109
CaO-MgO-SiO 2+10 wt%Li 2O-Bi 2O3 (Sol gel),890,Composite,7.2,25600,,-69,110
Sr 2Al 1.9 Ga0.1 SiO 7,1525,Tetragonal P-42 1m,7.2,21500,,-41,61
Mg2SiO 4+0.5 wt% LMZBS glass Fosterite,1525,Orthorhombic Pbnm,7.3,121200,,,75
Li 2CaSiO 4+3 wt% BZBS,900,Tetragonal I-42m,7.3,1700,,,12
Sr 2Al 2SiO 7+0.5 wt% LMZBS glass,1500,"Gehlenite P4-2 1m, tetragonal",7.3,34200,,-36,61
Sr 2Al 2SiO 7+1 wt% LMZBS glass,1500,"Gehlenite P4-2 1m, tetragonal",7.3,36300,,-23,61
Sr 2-xCa xAl 2SiO 7 (x=0.25),1450,Tetragonal P4-2 1m,7.3,26000,,-34,101
SrZnP 2O7,925,Monoclinic P2 1/n,7.3,71520,,-64,95
BaO:B2O3:SiO 2 (30:20:50) glass,717,Glass,7.3,1840,14.8,-62,81
BaCu(B 2O5),810,,7.3,50000,,-32,111
CaO-B2O3-SiO 2(69.7:16.2:14.1 mol%),900,Glass,7.3,2300,9.6,,6
CaO-B2O3-SiO 2(38.3:31.5:30.2 mol%),900,Glass,7.3,1800,9.6,,6
BaO:B2O3:SiO 2 (30:40:30) glass,677,Glass,7.3,2700,15.4,-34,81
BaO:B2O3:SiO 2 (30:60:10) glass,627,Glass,7.3,3390,14.9,-25,81
CaCuP 2O7,900,Monoclinic P2 1/n,7.3,71620,,-76,95
Mn 2P 2O7,1150,Monoclinic C2/m,7.3,23850,,-96,42
Zn 1.8 SiO3.8 +12 wt% V 2O5,875,Trigonal R-3,7.3,17500,,-28,112
