Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Ba(Ti 0.85 Mn 0.15 )O3 +15 wt% Bi 2O3,900,Perovskite,54.7,1300,,183,1220
Li 1+x+yTa1-x-3yTi x+4yO 3 (x=0.1y=0.15),1175,M-Phase,54.8,10400,,34,1295
Ba[Zn 1/4 Ti 1/4 Nb 1/2]O3,1400,Perovskite cubic,54.8,13200,6.1,,1135
CaLa8 Ti 9O31,,Orthorhombic Pbam,54.9,19300,,-6,1174
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.1, y=0.175)",1100,M-Phase,54.9,8890,6.2,28,"1295,1330"
Ba3LiNb 3Ti 5O21,1200,Hexagonal P6 3/mcm,54.9,3200,,472,1293
Ba3Ti 4Nb 4O21,1270,Hexagonal P6 3/mcm,55,9500,5.5,100,1115
Sm(2-x)/3 Li xTiO3 (x=0.5),1350,Perovskite,55,2000,,-260,1331
Ca[(Li 1/3 Nb 2/3 ) 1-xTi x] O3- (x=0.5),1150,Perovskite,55,18600,,83,678
0.2PbZrO 3-0.8Ca(Fe1/2 Nb 1/2 )O3,1250,"Perovskite Orthorhombic
Pbnm",55.1,450,5.3,-52,1070
Ba4La2 Ti 3Nb 2O18,1450,"AnB n-1O3n perovskite trigonal
R-3m",55.1,21270,5.1,,1332
Ca[(Li 1/3 Nb 2/3 ) 1-xTi x]O3 (x=0.5),1150,Perovskite,55.2,18600,,83,678
CaLa4 Ti 5O17,,Orthorhombic Pnnm,55.2,17400,,-20,1174
(Zn 1/3 Ta2/3 ) 0.7 Ti 0.3 O2,1200,,55.3,17500,,30,1333
"MBRT-90 +10wt%Li 2O-B2O3-SiO 2-
(56.92:37.59)",875,Composite,55.3,2500,,26,454
Ba3LiNb 3-xTa xTi 9O21 (x=3),1180,Hexagonal P6 3/mcm,55.6,18500,,70,1334
CaTi .6(Al 1/2 Nb 1/2 ) .4O3,1500,Perovskite orthorhombic,55.7,21800,7,47,1060
Sr 1-xCa xLa4 Ti 5O17 x=0.5,1550,Orthorhombic Pnnm,55.8,118000,,9,1321
CaLa4 Ti 4.95 Zr 0.05 O17,1500,Orthorhombic Pnnm,55.9,15600,,5,1335
Ba6-3xSm8+2x Ti 18O54 (x=2/3)+5 wt% Bi 2O 3-B2O3,1050,"Tungsten bronze
Orthorhombic",56,4300,,-15,1315
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+3.5wt% Bi 2O3-
B2O3+01LiF",1050,"Tungsten bronze
Orthorhombic",56,3900,,23,1315
0.64BaTi 4O9-0.35BaPr 2Ti 4O19,,Composite,56,1000,,,1336
(Sr 0.1 Ca.9) 3Ti 2O7,,Orthorhombic Ccm2 1,56,3000,2.5,141,1255
BaTi 3Nb 4O17,1310,Orthorhombic Bbmm,56,8400,4,86,1296
BaTi 0.95 Ni 0.05 O3-d,1450,Perovskite,56,2400,,,1337
Bi 2TeO6 (oxygen atm),720,Orthorhombic Cmca,56,10400,,-49,977
TiFeNbO6+4 wt% Bi 2O3,1125,Tetragonal,56.1,1000,3.45,17,1278
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.1, y=0.15)",1100,M-Phase,56.2,8350,6,15,"1295,1330"
0.5MgTiO 3-0.5CaTiO 3-0.25(Nd 2O3-2TiO 2),,Composite,56.3,23500,,68,1277
Ca0.99 Mg0.01 La4Ti 5O17,1500,Orthorhombic Pnnm,56.3,12300,6.4,-10,1338
Ni 0.5 Ti 0.5 NbO4+2 wt% ZnO,930,Tetragonal P4 2/mnm,56.3,67000,,78,1339
Ca1-xZn xLa4 Ti 5O17 (x=0),1500,Orthorhombic Pnnm,56.5,12500,6.6,4,1340
"Li 1+x-yNb 1-x-3yTi x+4yO 3 (x=0.1, y=0.1)",1150,,56.5,4500,,-7,1341
Sr 1-xCa xLa4 Ti 5O17 x=0.25,1150,Orthorhombic Pnnm,56.5,10960,,39,1341
CaTi .6(Al 1/2 Nb 1/2 ) .4O3 +1wt% Li 3 NbO4,1300,Perovskite orthorhombic,56.6,28000,7,53,1060
BaxLa4 Ti 3+xO12+3x(x=3),,,56.6,13380,,-191,1211
Ca0.97 Mg0.03 La4Ti 5O17,1450,Orthorhombic Pnnm,56.7,10800,5.3,-16,1338
Ni 0.5 Ti 0.5 NbO4,1100,,56.8,21100,,79,1339
0.7CaTiO 3-0.3Sm(Mg0.5 Ti 0.5 )O3,1550,Composite,57,11150,4.1,54,786
La0.4 Ba0.6 Ti 0.6 Y0.4 O3,1600,,57,750,,12,1342
Bi 2O3-CaO-Nb 2O5 (46.15:23.08:30.77),950,,57,470,3.7,24,1343
Ca1-xZn xLa4 Ti 5O17 (x=0.025),1500,Orthorhombic Pnnm,57,17400,6.7,8,1340
Ca0.99 Zn 0.01 La4Ti 5O17 +0.5 wt% CuO,1450,Orthorhombic Pnnm,57,15000,,-8,1344
CaLa4 Ti 5O17,1500,Perovskite Pnnm orthorhombic,57,9000,,-10,1345
Ba5LaTi 2Nb 3O15,1420,"AnB n-1O3n perovskite Trigonal
R-3m",57.3,18450,4.7,,1332
SrLa4 Ti 4.9 Zr 0.1 O12,,Orthorhombic,57.3,9800,,70,1346
Pb 0.4 Ca0.6 (Mg1/3 Nb 2/3 ) 1-x Sn x]O3(x=0.05),1280,Perovskite tetragonal,57.4,8120,5,-4,1317
Ca1-xZn xLa4 Ti 5O17 (x=0.01),1450,Orthorhombic Pnnm,57.6,17100,,5,1340
Ba0.7 Ca0.3 (Fe1/2 Nb 1/2 )O3,,Perovskite,57.7,830,7.8,101,1069
0.85La2/3 TiO3-0.15LaAlO 3,1375,Perovskite Orthorhomic,57.7,27900,5.2,65,1004
(Zn 1/3 Nb 2/3 ) 0.4 (Ti 0.7 Sn 0.3 ) 0.6 O2,1150,,57.8,14800,,58,1347
Sr 3Ti 2O7(Sr n+1 Ti nO3n+1 ),,Perovskite Tetragonal I4/mmm,57.9,18850,2.5,317,1255
Sr 2.4 Ca0.6 Ti 2O7,1600,Tetragonal I4/mmm,57.9,25700,2.5,359,1129
LiNb 0.6 Ti 0.5 O3 textured,,Not available,57.9,6325,,-14,1348
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+3.5wt% Bi 2O3-
B2O3+0.5 wt% LiF",1050,"Tungsten Bronze
Orthorhombic",58,4500,,6,1315
(Sr 0.8 Ca0.2 ) 3Ti 2O7,,Tetragonal I4/mmm,58,2500,2.5,359,1255
0.8Ca0.85 Nd 0.1 TiO3-0.2SmAlO 3,1400,Perovskite,58,14000,,13,1349
4CaO-BaO-Nb 2O5-TiO2,1490,Composite,58,4000,3.4,44,1208
Bi 2O3-CaO-Nb 2O5 (45.75:21.75:32.5),1050,Composite,58,1060,3.8,20,1343
(1-x)La2/3 TiO3-xNiTiO 3 (0.075),1340,Perovskite,58,15000,3.4,22,1306
TiFeNbO6+6 wt%Bi 2O3,1125,Tetragonal,58.1,650,3.32,118,1274
(Ni 1/3 Ta2/3 ) 1-xTi xO2 (x=0.5),1300,Rutile tetragonal P4 2/mmm,58.3,13900,,86,1177
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.05, y=0.1)",1100,M-Phase,58.4,6230,6.3,-31,"1295,1330"
0.3La(Mg1/2 Ti 1/2 )O-0.7CaTiO 3,1500,Perovskite Pbnm,58.8,40390,5.5,71,846
0.8Ca0.85 Nd 0.0.1 TiO3-0.2SmAlO 3,,Perovskite orthorhombic,58.9,14600,,13,1349
Li 1+x+yTa1-x-3yTi x+4yO 3 (x=0.1 y=0.1),1175,M-Phase,58.9,7720,,26,"1295,1330"
0.42(La1/2 Na1/2 )TiO 3-0.58Ca(Fe 1/2 Nb 1/2 )O 3,1300,"Complex perovskite
Orthorhombic",58.9,14070,6.6,0,1351
Pb 0.4 Ca0. 6(Ni 1/3 Nb 2/3 )O3,,Perovskite,59,7100,4.2,6,907
Bi 18Ca8Nb 12O65,950,,59,610,3.7,25,1343
Ca(Zr xTi 1-x)O3 (x=0.5),1470,"Perovskite Orthorhombic
Pbnm",59,4400,3.14,459,832
(1-y)Li 2.02 Ti 0.92 Nb 0.06 O3 (y=0.8),1070,,59.1,6900,,36,651
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.1, y=0.125)",1100,M-Phase,59.2,7560,6,22,"1295,1330"
Ca4La2 Ti 5-x(Mg1/3 Nb 2/3 ) xO17 (x=1),1540,Orthorhombic Pbnm,59.3,15500,,72,1026
Ba.8Ca.2(Fe1/2 Nb 1/2 )O3,,Complex Perovskite,59.5,550,6.3,80,1069
(1-x)La2/3 TiO3-xNiTiO 3 (0.05),1360,Perovskite,59.6,14860,3.2,22,1306
Li 1+x+yTa1-x-3yTi x+4yO 3 (x=0.15 y=0.1),1175,M-Phase,59.6,9100,,42,"1295,1330"
Pb 0.25 Ca0.75[(Mg1/3 Nb 2/3 ) 0.75 Ti 0.25]O3,,Perovskite,60,11000,,0,1352
Ba(Ti 0.85 Mn 0.15 )O3,1400,Perovskite,60,12000,,225,1353
BaSm2 Ti 4O12 +16 mol% BaCuB 2O5,875,"Tungsten-Bronze
Orthorhombic",60,4500,,-30,1354
Ba4Sm9.33 Ti 18O54 + 8 wt% BaCu(B 2O5),1050,"Tungsten bronze
Orthorhombic",60,4100,,-26,1285
(Sr 0.2 Ca0.8 ) 3Ti 2O7,,Orthorhombic Ccm2 1,60,2630,2.5,232,1255
0.5CaTiO 3-0.5Sr(Mg1/3 Nb 2/3 )O3,1600,Perovskite,60,14000,,60,1245
BaNd 2Ti 3O10,,Tungsten bronze,60,5300,4.2,140,1355
Ca2Sr 3Nb 2TiO12,1530,Orthorhombic,60,6000,3.5,48,1116
"(Ca1-xNd 2x/3 )TiO 3 (x=0.3)+25 vol% 3ZnO-
2B2O3",900,Perovskite,60,3700,,62,915
Ba3LiNb 2Sb 3Ti 5O21,1140,,60,14000,,143,838
Ca[Ti 0.4 (Mg1/3 Ta2/3 ) 0.6 ]O3,1350,Perovskite Orthorhombic,60.2,36900,,-10,1356
Ba3LiNb 3-xTa xTi 9O21 (x=2),,Hexagonal P6 3/mcm,60.3,15100,,100,1334
Li 1+x+yTa1-x-3yTi x+4yO 3 (x=0.1 y=0.075),1175,M-Phase,60.5,5014,,-5,"1294,1295"
7NiNb 2O6-9TiO 2 + 3.2 wt% CuO,935,Composite,60.5,1040,,62,1357
0.42(La1/2 Na1/2 )TiO 3-0.58Ca(Fe 1/2 Nb 1/2 )O 3,1350,"Complex perovskite
Orthorhombic",60.6,1300,6.6,6.5,1351
Nd 0.5 Ti 0.5 NbO4,1140,Tetragonal P4 2/mnm,60.6,70100,,76,1339
Ba(Pr 0.3 Bi .02 Nb 0.5 )O3,1300,Perovskite,60.7,1500,,15,1240
Sr 1-xCa xLa4 Ti 5O17 x=0,1500,Orthorhombic Pnnm,60.8,9970,,117,1321
0.5BaTiO 3-0.5La(Mg1/2 Ti 1/2 )O3,,Perovskite I4/mcm,60.9,9600,5.2,-2,847
Ca2Ba3Ta2 TiO12,1525,Cubic perovskite,61,1800,3.4,21,1208
0.2Li 2O-0.62Nb 2O5-0.17TiO2,1350,,61,15000,,100,686
"X(Ba4Nd 9.33 Ti 18O54)-(1-x)BaLa4 Ti 4O15 (x=0.75)
+Bi 2O3-B2O3-ZnO-SiO 2 glass",1140,Composite,61,2300,,38,1358
"Ba4(Sm0.5 Nd 0.5 ) 28/3 Ti 18O54+2mol% TiO 2+2 wt%
Li 2O-Al 2O3-B2O3 glass",,"Tungsten bronze
Orthorhombic",61.1,5900,,17,1359
"MBRT-90 +10 wt% Li 2O-B2 O3-SiO 2-CaO-
Al 2O3 (52.45::31.06:11.99:2:2.5)",875,Composite,61.6,2500,,18,454
(Pb 0.4 Ca0.6 )(Fe1/2 Ta1/2 )O3,1050,"Complex perovskite cubic
Pm3m",62,9000,,-15,1360
0.83Bi 2O3-0.25Nb 2O5,900,Flourite Fm-3m,62,560,,-372,1291
CaSr 4Nb 2TiO12,1530,,62,11500,3.4,51,1116
Li 1+x+yTa1-x-3yTi x+4yO 3 (x=0.15 y=0.075),1175,M- Phase,62.1,6190,,13,"1294,1295"
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.1, y=0.05)",1100,M-Phase,62.4,3750,6,-53,"1294,1295"
Ba0.725 Ca0.275 (Fe1/2 Nb 1/2 )O3,,Perovskite,62.4,640,6.3,82,1069
Ni 0.3 Zn 0.2 Ti 0.5 NbO4,1120,,62.5,13500,,65,1361
0.9La2/3 TiO3-0.1LaAlO 3,1350,Perovskite Orthorhomic,62.6,26100,4.9,82,1004
Ca[Ti 1-x(Mg1/3 Nb 2/3 ) x]O3 (x=0.4),1450,Perovskite,62.9,12200,,92,1173
Pb 0.4 Ca0.6 (Mg1/3 Nb 2/3 ) 1-x Sn x]O3 (x=0.03),1280,Perovskite Tetragonal,63,7540,5,-4,1317
Ba6-3xSm8+2x Ti 18O54 (x=2/3)+3 wt% Bi 2O 3-B2O3,1100,Tungsten bronze,63,8500,,-19,1315
(1-x)BaLa4 Ti 4O15-xBa4Nd 9.333 Ti 18O54( x=0.55),,Composite,63,10000,,-20,1362
0.9La2/3 TiO3-0.1LaAlO 3,1350,Perovskite,63,26100,,82,1004
"Bi 2Zn 2/3 Ta4/3 O7 +0.05wt% CuO+0.05wt%
V 2O5",930,,63,6800,5.35,,1363
Ba3La4 Ti 6O21,,,63,9100,,198,1364
(1-x)La2/3 TiO3-xNiTiO 3 (x=0.02),1380,Perovskite,63.3,6210,3.3,22,1306
0.4Ba(Mg1/2 W1/2 )O3- -0.6BaTiO 3,1500,Perovskite hexagonal,63.9,3800,,303,334
CaBa4Ta2 TiO12,1500,Cubic perovskite,64,1400,3.6,24,1208
Pb 2Ta1.5 Nb 0.5 O7,,Hexagonal,64,12800,,223,1365
"Ba6-3x Sm8+2x Ti 18O54 x- 2/3 +3 wt% Al 2O3 -B2O3-
SiO 2",1175,"Tungsten bronze
Orthorhombic",64,8500,,0,1366
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.15, y=0.075)",1100,M-phase,64,4610,5.9,-15,1330
Co 0.5 Ti 0.5 NbO4,1120,Tetragonal P4 2/mnm,64,65300,,223,1085
"0.84CaTiO 3-0.16Sm0.9 Nd 0.1 AlO3 +0.4 wt%
MgO",1375,,64.2,30900,,26,1367
Pb .4Ca.6(Mg1/3 Nb 2/3 ) 1-x Sn x]O3(x=0.01),1280,Perovskite tetragonal,64.7,7130,5,0,1317
LiNb 0.6 Ti 0.5 O3+0.5 wt% 0.17 Li 2O-0.83V 2O5,850,,64.7,5900,,9,1341
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.1, y=0.1)",1100,M-Phase,64.8,6385,5.7,8,"1294,1295"
La2/3 TiO3,,"Perovskite Orthorhombic
Pbnm",65,15700,,,1368
La0.4 Ba0.6 Ti 0.6 Yb 0.4 O3,1600,Not available,65,4500,,1,1342
Ba3Ti 4Nb 4O21+ 3 wt% CuO+1 wt% B 2O3,900,Hexagonal P6 3/mcm,65,16000,,101,1369
"Ba4(Nd 0.85 Bi 0.015 ) 9.33 Ti 18O54+30 wt% Li 2O-
ZnO-B2O3",875,Composite,65,2500,5.5,35,1370
(Pb 0.4 Ca0.6 )[(Mg1/2 Nb 1/2 )O3Sn x] (x=0.01),1350,Perovskite,65,7100,,136,1317
Ba4Sm9.33 Ti 18O54 + 6 wt% BaCu(B 2O5),1075,Orthorhombic,65,4200,,-24,1285
Ba[Ti 1-x(Co 0.5 W0.5 ) xO3 x=0.4,,Perovskite,65,3000,,45,463
0.1Pb(Fe 2/3 W1/3 )O3-0.9Pb 0.2 Ca0.8 (Fe1/2 Nb 1/2 )O3,1000,Perovskite,65.3,2270,,-24,1371
CaTi 0.7 (Al 1/2 Ta1/2 ) 0.3 O3,1500,Perovskite orthorhombic,65.4,20000,8,113,1168
CaTi 0.7 (Al 1/2 Nb 1/2 ) 0.3 O3,1450,Perovskite orthorhombic,65.4,19300,7,-2,1060
0.5CeO 2-0.25CaO-0.25TiO 2,1550,Mixture phases,65.5,9500,3.2,399,433
Ca3Ba2Nb 2TiO12,1475,Cubic perovskite,66,2600,3.3,48,1208
"(1-x)(Mg0.95 Zn 0.05 )TiO 3-xCa0.6 La0.8/3 TiO3
(x=0.7)",1320,Composite,66,39000,,168,411
BaTi 0.4 Ga0.3 Nb 0.3 O3,1500,Perovskite Tetragonal P4mm,66,3720,4.7,,1268
LiNb 0.6 Ti 0.5 O3)+2 wt%V 2O5,900,M-Phase,66,3800,5.6,11,1341
Bi 2O3-CaO-Nb 2O5 (52.5:17.5:30),925,,66,330,3.6,35,1343
Ba3Ti 4Nb 4O21+0.2MnCO 3-0.8CuO,950,Hexagonal P6 3/mcm,66,13400,,60,1372
Pb 0.4 Ca0.6 (Mg1/3 Nb 2/3 ) O3,1280,Perovskite tetragonal,66.3,6940,5,3,1317
Bi 2(Zn 1/3 Ta2/3 ) 2O7,850,Cubic Fd3m,66.3,6200,,-9,1363
(Ni 1/3 Ta2/3 ) 1-xTi xO2 (x=0.6),1300,Rutile tetragonal P4 2/mmm,66.4,2180,,147,1177
"Ba4.2 Nd 9.2 Ti 18O54+13 wt% NdAlO3+0.3 wt%
MnO2",1380,Tungsten bronze,66.5,14000,,0,1373
0.92La2/3 TiO3-0.08LaAlO 3,1350,Perovskite Orthorhombic,66.9,28350,4.8,82,1004
(Ba4.2 Sm9.2 )Ti 16.6 Al 1.4 O54,1440,Tungsten Bronze,67,1543,5.4,-90,1374
"BaNd 2Ti 4O12 +B2O3-Bi 2O3-SiO 2-ZnO glass
+La2 O3-B2O3-TiO2",900,Tungsten Bronze,67,6000,6,4,1375
"(Ca0.3 Li 0.14 Sm0.42 )TiO 3-Mg0.93 Ca0.07 TiO3
stacked layers",1350,Stacked layers,67.2,7900,,0,648
ZrTe3O8,760,Cubic Ia3,67.5,1800,4,362,"48,55"
CaTi 0.7 (Al 1/2 Nb 1/2 ) 0.3 O3,1500,Perovskite,67.8,18700,,138,1060
0.8CaTiO 3- 0.2Sm(Mg0.5 Ti 0.5 )O3,1550,Perovskite,68,12400,3.5,147,786
"Ba6-3x(Sm1-yNd y) 8+2x(Ti 1-zSn z)O54 x=2/3  y=0
z=0.1",,Tungsten bronze,68,4020,,20,1376
0.6CaTiO 3-0.4Ca(Mg1/3 Nb 2/3 )O3,1450,Perovskite,68,17000,5.4,108,857
BiVO4,900,Monoclinic I2/b,68,8000,,-243,1377
0.3La(Mg1/2 Ti 1/2 )O3-0.7SrTiO 3,,Perovskite Imma,68.4,4950,6.6,,890
"(Pb 1-xCax)[Fe1/2 Nb 1/2 ] 1-yZr y]O3 (y=0.01, x=0.6)",1150,Perovskite,68.7,6800,4.2,-17,1378
(Ni 1/3 Nb 2/3 ) 1-xTi xO2 (x=0.3),1200,Rutile tetragonal P4 2/mmm,68.7,19300,,57,1177
(Ca0.2 Sr 0.8 ) 3Ti 2O7,1460,Tetragonal I4/mmm,68.8,106000,,,1379
Ba4Gd 9 Ti 18O54,1350,Orthorhombic Pbam,69,3300,1,-60,1380
CaTi 0.7 (Al 1/2 Nb 1/2 ) 0.3 O3 +1 wt% Li 3NbO4,1300,Perovskite orthorhombic,69,21500,7,145,1060
(1-x)La2/3 TiO3-xNiTiO 3 (0.03),1375,Perovskite,69.4,16960,3.1,18,1306
Ba2-xSm(4+2/3x) Ti 9O26 x=0.3,1360,Tunsten Bronze,69.4,9700,,6,1381
(Ba4.2 Sm.9.2 ) aTi 17. AlO54,1440,Tungsten bronze,70,4360,5.22,-57,1374
LiNb 0.6 Ti 0.5 O3+1 wt% ZnO-B2O3,900,M phase solid solution,70,5900,,-5,1382
Ba4Nd 9.33 Ti 18O54+2 wt% Al 2O3,1320,Tungsten bronze,70,12200,,20,1383
Ba6-3xSm8+2x Ti 18O54 (x=2/3)+1 wt% Bi 2O 3-B2O3,1200,Tungsten bronze,70,8500,,-13,1315
"Bi 2(Zn 1/3 Nb 2/3 ) 2O7 +1 wt% of 0.15CuO-
0.85MoO 3",900,,70,4800,3,,1384
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3) +0.5wt%
(50Al 2O3-50 SiO 2)",1220,Tungsten Bronze,70,8500,,-21,1366
Ba4Sm9.33 Ti 18O54 + 4 wt% BaCu(B 2O5),1175,Tungsten Bronze,70,4700,,-16,1285
0.97La2/3 TiO3-0.03NiTiO 3,1350,,70,17000,,18,1306
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3)+0.5wt%
(44Al 2O3-30B2O3-26SiO 2)",1220,Tungsten Bronze,70,8600,,-12,1366
LiNb 0.6 Ti 0.5 O3 +1 wt% B 2O3,880,,70,5400,,-6,1385
"(Ba4.2 Sm9.2 )  Ti 18-yAl yO54 (y=1,=1+y/36
x=0.6)",1440,Tungsten Bronze,70.2,4350,,-57,1374
Pb 0.4 Ca.6[(Fe1/2 Nb 1/2) 0.9 Sn 0.1 O3,1150,Perovskite Orthorhombic,70.3,8200,,-19,1386
"0.1CaTiO 3-0.5(Li 1/2 Nd 1/2 )TiO 3-
0.4(Dy1/3 Nd 1/3 )TiO 3",1350,Tetragonal P-4b2 Perovskite,70.6,1470,,-156,1387
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3)+0.5wt%
(22MgO-22Al 2O3-56SiO 2)",1200,Tungsten bronze,71,5890,,-19,1366
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3)+0.5wt%
(35Bi 2O3- 32ZnO- 6SiO 2- 27B2O3)",1200,Tungsten bronzePerovskite,71,8900,,-10,1366
"0.14(BaO-Nd 2O3-4TiO 2)-+0.86(BaO-Al 2O 3-
4TiO 2)",,,71,8200,,0,1019
Ba{Ti 0.95 Mn 0.05}O3-,1450,Perovskite,71.1,7700,4.8,,1337
Ba[Ti 1-x(Zn 1/2 W1/2 ) x]O3 (x=0.4),1420,Cubic perovskite Pm3-m,71.2,4800,,48,608
Cu 0.5 Ti 0.5 NbO4,960,Tetragonal rutle,71.2,11000,,49,1388
SrO-2CeO2-4TiO 2,1330,Tetragonal,71.3,10400,,187,1389
0.2Pb(Fe 2/3 W1/3 )O3-0.8Pb.2Ca.8(Fe1/2 Nb 1/2 )O3,1000,Perovskite,71.4,1520,,-29,1371
Ba(2-x) Sm(4+2/3x) Ti 9O24 (x=0.25),1370,,71.5,10700,5.1,4,1390
"0.2Ca0.8Sr 0.2 TiO3-0.8Li 0.5 Sm0.5 TiO3+5 wt%
BaCu(B 2O5)+1.5 wt%TiO 2",950,,71.6,3400,,-11,1391
SrO-2CeO2-5TiO 2,1330,Mixed phases,71.7,6670,,203,1389
LiNb 0.63 Ti 0.4625 O3+0.1 wt% B 2O3-SiO 2,900,,71.7,4950,,-2,1392
"(1-x)Ca0.61 Nd 0.26 TiO3-xNd(Zn 0.5 Ti 0.5 )O3
x=0.2",1300,Perovskite,71.8,17300,,94,1393
0.96La2/3 TiO3-0.04LaAlO 3,1325,Perovskite Orthorhomic,71.9,23900,4.5,123,1004
Pb 0.5 Ca0. 5(Na1/4 Nb 3/4 )O3,,Perovskite,72,1500,3.5,230,907
Ba4Sm9.33 Ti 18O54 +2 wt% BaCu(B 2O5),1175,Orthorhombic,72,5500,,-14,1285
Pb 0.5 Ca0.5 (Zr 0.95 Ti 0.05 )O3,1350,Perovskite Rhombohdral,72,4100,4,2,1394
0.96La2/3 TiO3-0.04LaAlO 3,1325,Perovskite,72,24000,,123,1004
"Ba6-3xSm8+2x Ti 18O54(x=2/3)+0.5 wt% (60ZnO-
30B2O3-10SiO 2)",1200,"Tungsten-bronze
Orthorhombic",72,4530,,-17,1366
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)
+0.5wt% (40MgO-40B2O3-20SiO 2)",1200,"Tungsten-Bronze
Orthorhombic",72,4450,,-16,1366
Ba6-3x Sm8+2x Ti 18O54-1.9TiO 2 (x=2/3),1350,Tungsten bronze,72,10300,,7.2,1395
"(Ba4.2 Sm9.2)dTi 18-yAl yO54 (y=0.8 d=1+y/36
x=0.6)",1440,Orthorhombic tungsten Bronze,72.1,4600,,-42,1374
(1-x)CaTiO 3-xSm(Mg1/2 Ti 1/2 )O3 (x=0.2),,Orthorhombic Pnma,72,120000,,160,919
Pb 0.5 Ca0.5 (Ni 1/3 Nb 2/3 )O3,,Perovskite,73,5100,3.5,52,907
Pb 0.4 Ca0. 6(Mg1/3 Nb 2/3 )O3,,Perovskite,73,4100,3.1,3.7,907
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3)+0.5 wt% (71ZnO-
29B2O3)",1200,"Tungsten-Bronze
Orthorhombic",73,4830,,-14,1366
(Pb 0.5 Ni 0.5 )(Mg1/3 Nb 2/3 )O3,,Perovskite,73,4900,,52,907
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+0.5wt% (40
B2O3- 60SiO 2)",1200,"Tungsten-Bronze
orthorhombic",73,7900,,-16,1366
Ba6-3xSm8+2x Ti 18O54 (x=2/3)+0.5 wt% B 2O3,1220,"Tungsten bronze
Orthorhombic",73,9500,,-14,1366
Ba0.98 Sr 0.02 )Sm2Ti 4O12,1375,Tungsten bronze,73,7920,,-6,1396
Ca4La2 Ti 5O17,1550,Cubic perovskite,73,16000,3.3,127,"1026,1397"
Ba3LiNb 3-xTa xTi 9O21 (x=1),,,73,13600,,172,1334
"Ba6-3xNd 8+2x Ti 18O54 (x=2/3)+ 2wt% H 3BO3-
TEOS ",1075,"Tungsten-Bronze
Orthorhombic",73.8,8200,,47,1398
Ba4Nd 3.33 Eu 6Ti 18O54,1460,Tungsten-Bronze,73.9,8900,,-11,1399
"Ca0.8 Sr 0.2 TiO3-Li 0.5 Sm0.5 TiO3 + xwt%[YB 2O3-
(1-y)CuO] x=7.5, y=0.5",950,,74,2500,,1,1400
BaTi 0.95 Co 0.05 O3-,1450,Perovskite,74,1300,,,1337
Pb 0.5 Ca0.5ZrO 3,1500,Perovskite,74,3900,3.7,-17,1401
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+0.5 wt% (50ZnO-
50B2O3)",1220,Tungsten bronze,74,5330,,-17,1366
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+0.5wt% (30
BaO- 40B2O3 +-30SiO 2)",1220,"Tungsten bronze
Orthorhombic",74,9700,,-12,1366
TiO2+zinc borosilcate glass,900,Composite,74,8000,,340,1402
0.88TiO 2-0.12Bi 2Ti 4O11,1200,composite,74,9500,,3,1267
BaO-Sm2O3-TiO2,,Tungsten bronze,74,12000,,10,1403
BaTi 0.92 Ga0.08 O2.96,1450,Tetragonal Perovskite,74,7810,5.5,,1404
0.7Ca0.6 La0.267 TiO3-0.3Ca(Sm0.5 Nb 0.5 )O3,,Perovskite,74.3,12700,,9,1405
"Ba4(Sm0.5 Nd 0.5 ) 28/3 Ti 18+xO54-2TiO 2+2 2x +1.5
wt% Al 2O3",1260,Mixture,74.3,11900,,5,1406
Ba(2-x) Sm(4+2/3x) Ti 9O28 (x=0.2),1370,,74.8,10900,5.78,2,1390
Ca2Ba3Nb 2TiO12,1500,Cubic perovskite,75,1600,3.04,53,1208
"Ba6-3x Sm8+2x Ti 18O54 (x=2/3)+0.5 wt% (40PbO-
40B2O3-20SiO 2)",1200,"Tungsten-Bronze
Orthorhombic",75,6500,,-17,1366
(Pb 0.5 Co 0.5 )(Mg1/3 Nb 2/3 )O3,,Perovskite,75,1400,,16,907
(Bi 1.92 Zn 0.08 )(Zn 0.64 Nb 1.36 )O7,1000,Pyrochlore-monoclinic,75,1800,,,1407
Ba.98 Sr 0.02.2Sm2Ti 4O12,,Tungsten Bronze,75,7920,,-6,1396
Pb 0.5 Ca0.5 (Co 1/3 Nb 2/3)O3,,Perovskite,75,1450,3.7,16,907
Li 1/2 Nd 1/2 TiO3,,Perovskite,75,2000,,-274,1387
