Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
BaTa2P2O11+5wt%TiO2,13.4,17200,,-6,BaTa2P2O11,12.9,28900,,-29,TiO2,115,46000,,450,,,,,
0.77CaMoO4-0.23TiO2,13.4,31300,,33,CaMoO4,10.8,89700,,-23,TiO2,115,46000,,450,0.77,0.23,,,
0.6BaMoO4-0.4TiO2,13.8,40500,,-6,BaMoO4,9,37100,,-90,TiO2,115,46000,,450,0.6,0.4,,,
0.80ZnAl2O4-0.20TiO2,14,90700,9.66,6,ZnAl2O4,7.9,82000,,-63,TiO2,115,46000,,450,0.8,0.2,,,
0.8(Al1/2Ta1/2)O2-0.2(Mg1/3Ta2/3)O2,14.2,62150,,-41,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.8,0.2,,,
Mg2TiO4+1.5wt%CeO2nanoparticles,14.6,167000,,,Mg2TiO4,14.2,160000,,-50,CeO2,23,65000,,-55,0.986,0.014,,,
0.2(Li1/2Nd1/2)WO4-0.8ZnWO4,14.8,1370,,-20,ZnWO4,13.5,62800,,-60,(Li1/2Nd1/2)WO4,16.1,4210,,142,0.8,0.2,,,
0.8Li2Zn3Ti4O12–0.2Li2TiO3,18.5,75000,,-46.5,Li2Zn3Ti4O12,20.6,106700,,-48,Li2TiO3,22,23600,,38.5,0.8,0.2,,,
0.6Li2Zn3Ti4O12–0.4Li2TiO3,18.3,43000,,-39,Li2Zn3Ti4O12,20.6,106700,,-48,Li2TiO3,22,23600,,38.5,0.6,0.4,,,
0.4Li2Zn3Ti4O12–0.6Li2TiO3,18.7,21000,,-31,Li2Zn3Ti4O12,20.6,106700,,-48,Li2TiO3,22,23600,,38.5,0.4,0.6,,,
0.2Li2Zn3Ti4O12–0.8Li2TiO3,19.3,23000,,-11,Li2Zn3Ti4O12,20.6,106700,,-48,Li2TiO3,22,23600,,38.5,0.2,0.8,,,
0.91MgWO4-0.09CaTiO3,14.9,27500,7.1,9,MgWO4,9.9,69000,,-58,CaTiO3,162,1290,1.5,859,0.91,0.09,,,
0.94MgWO4-0.06CaTiO3,14.4,29500,7.1,-13.5,MgWO4,9.9,69000,,-58,CaTiO3,162,1290,1.5,859,0.94,0.06,,,
0.93MgWO4-0.07CaTiO3,14.5,30900,7.1,-6.2,MgWO4,9.9,69000,,-58,CaTiO3,162,1290,1.5,859,0.93,0.07,,,
0.92MgWO4-0.08CaTiO3,14.7,31800,7.1,0,MgWO4,9.9,69000,,-58,CaTiO3,162,1290,1.5,859,0.92,0.08,,,
0.9MgWO4-0.1CaTiO3,15,24800,7.1,15.2,MgWO4,9.9,69000,,-58,CaTiO3,162,1290,1.5,859,0.9,0.1,,,
(1-x)(Al1/2Ta1/2)O2-x(Mg1/3Ta2/3)O2x=0.2,15.7,103600,,-40,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.8,0.2,,,
0.7Ba2BiV3O11-0.3TiO2,15.7,53200,8.57,-2,Ba2BiV3O11,14.2,68700,8.7,-81,TiO2,115,46000,,450,0.7,0.3,,,373
1Ba2BiV3O11-0TiO2,14.2,68700,8.7,-81,Ba2BiV3O11,14.2,68700,8.7,-81,TiO2,115,46000,,450,1,0,,,373
0.9Ba2BiV3O11-0.1TiO2,14.6,60200,8.57,-64,Ba2BiV3O11,14.2,68700,8.7,-81,TiO2,115,46000,,450,0.9,0.1,,,373
